29;1;;Seven people shot and killed yesterday in Chicago. What is going on there - totally out of control. Chicago needs help!;status;6123;17-02-01
30;1;Poll: Trump More Trusted Than The Media;Poll: 'Trump More Trusted Than The Media';link;13570;17-02-01
31;1;The warrior-thinker Trump picked for national security adviser;The warrior-thinker Trump picked for national security adviser';link;2589;17-02-01
32;1;The Hill;Priebus & Bannon LIVE at CPAC 2017-;video;1;17-02-01
33;1;The White House;Join me LIVE at the White House with leading Manufacturing CEO's from around America.;video;1;17-02-01
34;1;VP Pence Joins Gov. Greitens at Jewish Cemetery Clean-Up;VP Pence Joins Gov. Greitens at Jewish Cemetery Clean-Up';link;23695;17-02-01
35;1;Trump on track to aggressively address immigration, crime: Column;Trump on track to aggressively address immigration, crime: Column';link;2299;17-02-01
36;1;Timeline Photos;ON THIS DAY... Raising the Flag on Iwo Jima is a photograph taken on February 23, 1945, by Joe Rosenthal. It depicts six United States Marines raising a U.S. flag atop Mount Suribachi, during the Battle of Iwo Jima in World War II....https://en.m.wikipedia.org/wiki/Raising_the_Flag_on_Iwo_Jima;photo;20746;17-02-01
37;1;Timeline Photos;#Repost Ivanka Trump via Instagram: Arabella and I visited the Supreme Court this morning and attended a hearing. I'm grateful for the opportunity to teach her about the judicial system in our country firsthand. #SCOTUS #SupremeCourt #ImportantLessons #MotherDaughter;photo;2695;17-02-01
38;1;Exclusive—Poll: Majority Oppose Anti-Trump, Pro-Illegal Alien Protests - Breitbart;Exclusive—Poll: Majority Oppose Anti-Trump, Pro-Illegal Alien Protests';link;3430;17-02-01
39;1;Donald Trump vows to cut waste in first budget;No more wasted money! We must do a lot more with less, and look for every last dollar of savings. Unfortunately, the budget that we’re essentially inheriting, is a mess. The finances of our country are a mess - with the national debt at $20 TRILLION (doubling over the last eight years.) Washington cannot ignore this - we need to address it immediatley, and that's exactly what we are going to do!;link;15506;17-02-01
40;1;President Donald J. Trump’s First Month: Achieving Results for the American People;President Donald J. Trump’s First Month: Achieving Results for the American People:;link;7966;17-02-01
41;1;;Very much enjoyed my tour of the Smithsonian's National Museum of African American History and Culture...A great job done by amazing people!;video;5258;17-02-01
42;1;;The so-called angry crowds in home districts of some Republicans are actually, in numerous cases, planned out by liberal activists. Sad!;status;4099;17-02-01
43;1;Timeline Photos;Great news! #MAGA🇺🇸 'U.S. stocks rose to fresh record highs on Tuesday, boosted by strong earnings reports from Wal-Mart and other retailers and continued optimism about the economic agenda of President Donald J. Trump Trump. The Dow, S&P 500, Nasdaq and Russell 2000 all closing at record highs.';photo;5135;17-02-01
44;1;Poll: Americans overwhelmingly oppose sanctuary cities;‪'Americans overwhelmingly oppose sanctuary cities';link;6932;17-02-01
45;1;At African American Museum, Donald Trump Vows to Defend 'Promise of Freedom';At African American Museum, Donald Trump Vows to Defend 'Promise of Freedom';link;2164;17-02-01
"46;1;Timeline Photos;""“I’m deeply proud that we now have a museum that honors the millions of African American men and women who built our national heritage, especially when it comes to faith, culture and the unbreakable American spirit"""" Read more: http://www.cbsnews.com/amp/news/president-trump-visits-dc-african-american-history-museum/"";photo;3221;17-02-01"
47;1;Timeline Photos;Visiting the National Museum of African American History this morning.;photo;1862;17-02-01
48;1;BREAKING NEWS: President Trump Just Announced His New National Security Adviser...;President Trump Just Announced His New National Security Adviser';link;2321;17-02-01
49;1;;CONGRATULATIONS to our new National Security Adviser ---- General H.R. McMaster and Chief of Staff, General Keith Kellogg. Two great General's ---- who will play a big part in MAKING AMERICA SAFE AGAIN!;video;6581;17-02-01
50;1;Timeline Photos;We are not going to let the fake news tell us what to do, how to live, or what to believe!;photo;26848;17-02-01
51;1;;HAPPY PRESIDENTS DAY - MAKE AMERICA GREAT AGAIN!;status;21594;17-02-01
52;1;Timeline Photos;We will always protect those who protect us!;photo;9623;17-02-01
54;1;Trump: 1 Hour Of Negotiations Saved $1 BILLION On Air Force One;Trump: 1 Hour Of Negotiations Saved $1 BILLION On Air Force One';link;12056;17-02-01
55;1;Instagram post by Donald J. Trump • Feb 19, 2017 at 2:36pm UTC;;link;11143;17-02-01
56;1;;THANK YOU Gene - for coming out at 4:00am to support our MOVEMENT in Melbourne, Florida! THANK YOU to everyone who came out this evening. Lets MAKE AMERICA GREAT AGAIN!!;video;9960;17-02-01
57;1;Timeline Photos;THANK YOU MELBOURNE, FLORIDA! TOGETHER, WE WILL MAKE AMERICA SAFE AND GREAT AGAIN!;photo;20007;17-02-01
58;1;;Don't believe the main stream (fake news) media.The White House is running VERY WELL. I inherited a MESS and am in the process of fixing it.;status;19293;17-02-01
59;1;;Will be having many meetings this weekend at The Southern White House. Big 5:00 P.M. speech in Melbourne, Florida. A lot to talk about!;status;1866;17-02-01
60;1;;When American workers win, America as a country wins!;video;6995;17-02-01
61;1;;Wishing everyone a beautiful weekend!;video;39055;17-02-01
62;1;Timeline Photos;Congratulations to our new Administrator of the Environmental Protection Agency- Scott Pruitt, on being confirmed & sworn in today.  Scott is dedicated to creating policies that serve the American people. Learn more about him here➡️https://www.epa.gov/aboutepa/epas-administrator;photo;2153;17-02-01
63;1;;The FAKE NEWS media (failing @nytimes, @NBCNews, @ABC, @CBS, @CNN) is not my enemy, it is the enemy of the American People!;status;16365;17-02-01
64;1;Timeline Photos;Congratulations to Boeing and all of the great employees in South Carolina! #MadeInUSA;photo;3179;17-02-01
65;1;Instagram post by Donald J. Trump • Feb 17, 2017 at 5:42pm UTC;I have some company with me today - heading to Marine One earlier today! Ivanka Trump & Jared on their way as well! #Family;link;10516;17-02-01
66;1;;Departing for South Carolina! Together, we will MAKE AMERICA GREAT AGAIN!;video;8544;17-02-01
67;1;The White House;Join me at 11:00am....;video;1;17-02-01
68;1;Timeline Photos;LETS MAKE AMERICA GREAT AGAIN!;photo;20811;17-02-01
69;1;Trump signs bill undoing Obama coal mining rule;‪'Trump signs bill undoing Obama coal mining rule'‬;link;17810;17-02-01
70;1;The White House;It was an honor to host my friend, Prime Minster Benjamin Netanyahu - בנימין נתניהו yesterday - at the White House!;video;2;17-02-01
71;1;The White House;;video;3;17-02-01
"72;1;;""FAKE NEWS media, which makes up stories and """"sources,"""" is far more effective than the discredited Democrats - but they are fading fast!"";status;4310;17-02-01"
73;1;;Stock market hits new high with longest winning streak in decades. Great level of confidence and optimism - even before tax plan rollout!;status;10218;17-02-01
74;1;Timeline Photos;Venezuela should allow Leopoldo Lopez, a political prisoner & husband of Lilian Tintori (just met with VP Pence & Senator Rubio) out of prison immediately.;photo;6188;17-02-01
75;1;Aetna CEO Says Obamacare in a 'Death Spiral';Aetna CEO: Obamacare in 'Death Spiral' #RepealAndReplace;link;6142;17-02-01
76;1;Timeline Photos;‪Welcome to the United States, @IsraeliPM Benjamin & Sara!‬ ‪#ICYMI🇺🇸🇮🇱Joint Press Conference: ‬https://www.facebook.com/DonaldTrump/posts/10158654390690725‬;photo;8114;17-02-01
77;1;The White House;Join me live in a joint press conference with The Prime Minister of Israel, Benjamin Netanyahu -- at the White House.;video;1;17-02-01
78;1;Timeline Photos;‪Great listening session with CEO's of the Retail Industry Leaders Association this morning!‬;photo;3014;17-02-01
80;1;The White House;Join me at the White House, live!;video;3;17-02-01
81;1;;Crimea was TAKEN by Russia during the Obama Administration. Was Obama too soft on Russia?;status;5156;17-02-01
"82;1;;""The real scandal here is that classified information is illegally given out by """"intelligence"""" like candy. Very un-American!"";status;5985;17-02-01"
83;1;;The fake news media is going crazy with their conspiracy theories and blind hatred. @MSNBC & @CNN are unwatchable. @foxandfriends is great!;status;12498;17-02-01
84;1;Humana to drop out of ObamaCare marketplace at end of 2017;Obamacare continues to fail. Humana to pull out in 2018. Will repeal, replace & save healthcare for ALL Americans.;link;8583;17-02-01
85;1;;Great parent-teacher listening session this morning with VP Pence & U.S. Department of Education Secretary Betsy DeVos.;video;4952;17-02-01
86;1;The White House;Congratulations to our new Administrator of the Small Business Administration, Linda McMahon! Watch Linda be sworn-in:;video;1;17-02-01
87;1;The White House;Congratulations to our new Secretary of Veterans Affairs, Dr. David Schulkin! Time to put the men and women who have served and protected the United States of America-  FIRST! #Heroes;video;3;17-02-01
88;1;Timeline Photos;Happy Valentine'a Day!;photo;8535;17-02-01
89;1;Ivanka Trump Attends White House Taskforce Meeting with Canadian PM Justin Trudeau;Ivanka Trump Attends White House Taskforce Meeting with Canadian PM Justin Trudeau';link;1374;17-02-01
90;1;;The real story here is why are there so many illegal leaks coming out of Washington? Will these leaks be happening as I deal on North Korea, etc?;status;4806;17-02-01
91;1;The White House;CONGRATULATIONS to our new Treasury Steven Mnuchin -- he will be GREAT!;video;3;17-02-01
93;1;Timeline Photos;Wonderful meeting with Canadian PM Justin Trudeau and a group of leading CEO's & business women from Canada🇨🇦and the United States🇺🇸;photo;7226;17-02-01
94;1;;Join me for a few minutes as I meet with Canadian PM Trudeau and a group of leading CEO business women from the United States and Canada - to discuss women in the workforce.;video;11889;17-02-01
95;1;Timeline Photos;Welcome to the White House Prime Minister Justin Trudeau! 🇺🇸🇨🇦;photo;4376;17-02-01
96;1;Daniel Scavino Jr.;We have a GREAT afternoon of meeting planned. Looking forward to them!;photo;4;17-02-01
97;1;Trump, Trudeau to discuss women in workforce;‪Today I will meet with Canadian PM Trudeau & a group of leading business women to discuss women in the workforce.;link;3036;17-02-01
98;1;Timeline Photos;With our incredible heroes from the West Point Military Academy this weekend. THANK YOU FOR YOUR SERVICE TO THE UNITED STATES OF AMERICA!;photo;3347;17-02-01
99;1;Timeline Photos;I will be a President for ALL of our people.  -DJT;photo;11362;17-02-01
100;1;;While on FAKE NEWS CNN, Bernie Sanders was cut off for using the term fake news to describe the network. They said technical difficulties! 72% of refugees admitted into U.S. (2/3 -2/11) during COURT BREAKDOWN are from 7 countries: SYRIA, IRAQ, SOMALIA, IRAN, SUDAN, LIBYA & YEMEN!;status;10518;17-02-01
101;1;;#ICYMI: Joint Statement with Prime Minister Shinzo Abe on North Korea.;video;3965;17-02-01
102;1;Joint Statment by President Trump and Prime Minister Shinzō Abe;LIVE: Joint Statment by President Trump and Prime Minister Shinzō Abe:;video;797;17-02-01
103;1;Timeline Photos;I am so proud of my daughter Ivanka. To be abused and treated so badly by the media, and to still hold her head so high, is truly wonderful!;photo;15530;17-02-01
104;1;Timeline Photos;‪‪Having a great time hosting Prime Minister Shinzo Abe in the United States! ‬;photo;3326;17-02-01
"106;1;Timeline Photos;""Our legal system is broken! """"77% of refugees allowed into U.S. since travel reprieve hail from seven suspect countries."""" (WT)  SO DANGEROUS!"";photo;5618;17-02-01"
107;1;Timeline Photos;Melania and I are hosting Japanese Prime Minister Shinzo Abe and Mrs. Abe at Mar-a-Lago in Palm Beach, Fla. They are a wonderful couple!;photo;2613;17-02-01
108;1;;I am reading that the great border WALL will cost more than the government originally thought, but I have not gotten involved in the design or negotiations yet. When I do, just like with the F-35 Fighter Jet or the Air Force One Program, price will come WAY DOWN!;status;12757;17-02-01
109;1;Timeline Photos;Wonderful evening with Melania, Prime Minister Abe, Akie and my good friend Bob Kraft!;photo;6306;17-02-01
110;1;Daniel Scavino Jr.;Arrived in West Palm Beach (PBI) with First Lady Melania Trump, Prime Minister Shinzō Abe & First Lady Akie Abe a couple of hours ago. Honored to welcome them to Florida!;video;1;17-02-01
111;1;Timeline Photos;‪Heading to Joint Base Andrews on #MarineOne with Prime Minister Shinzō Abe earlier today.;photo;9926;17-02-01
112;1;The White House;Join me for my weekly address!;video;6;17-02-01
113;1;Timeline Photos;On behalf of the United States - I am honored to welcome Japan Prime Minister Shinzō Abe back!;photo;2834;17-02-01
114;1;The White House;Join us live - for the swearing-in of our new Health and Human Services Secretary, Dr. Tom Price!;video;2;17-02-01
"115;1;;""LAWFARE: """"Remarkably, in the entire opinion, the panel did not bother even to cite this (the) statute."""" A disgraceful decision!"";status;2392;17-02-01"
116;1;;SEE YOU IN COURT, THE SECURITY OF OUR NATION IS AT STAKE!;status;24936;17-02-01
"117;1;;""Senator McCain should not be talking about the success or failure of a mission to the media. Only emboldens the enemy! He's been losing so long he doesn't know how to win anymore, just look at the mess our country is in - bogged down in conflict all over the place. Our hero....Ryan died on a winning mission (according to General Mattis), not a """"failure."""" Time for the U.S. to get smart and start winning again!"";status;9105;17-02-01"
118;1;The White House;Join us live at the White House - for the swearing in of our new Attorney General, Senator Jeff Sessions!;video;3;17-02-01
"119;1;;""Chris Cuomo, in his interview with Sen. Blumenthal, never asked him about his long-term lie about his brave """"service"""" in Vietnam. FAKE NEWS!"";status;2176;17-02-01"
120;1;Dan Scavino Jr. on Twitter;Very nice letter by the National Sheriffs Association - representing 3,000 Sheriffs from around the United States of America. I will NOT let you down - we are with you!;link;12793;17-02-01
"121;1;Sobering' poll finds majority in leading EU nations would back Trump-style travel ban;""""""Majority in Leading EU Nations Support Trump-Style Travel Ban: Poll"""""";link;10561;17-02-01"
122;1;;Thank you Brian Krzanich, CEO of Intel. A great investment ($7 BILLION) in American INNOVATION and JOBS! #AmericaFirst🇺🇸;video;21975;17-02-01
123;1;Trump administration seen as more truthful than news media: poll;‪'Trump administration seen as more truthful than news media'‬;link;21359;17-02-01
"124;1;Opinion | Michael Flynn: Trump is like the chariot driver in ‘Ben-Hur’;""Michael Flynn: """"Trump is like the chariot driver in Ben-Hur'"";link;2236;17-02-01"
"125;1;Trump is stronger than national polls suggest;""TOGETHER, WE WILL MAKE AMERICA SAFE AND GREAT AGAIN! """"Trump is stronger than national polls suggest"""""";link;10169;17-02-01"
126;1;;My daughter Ivanka has been treated so unfairly by Nordstrom. She is a great person who is always pushing me to do the right thing! Terrible!;status;10208;17-02-01
127;1;Timeline Photos;Thank you to our great Police Chiefs & Sheriffs for your leadership & service. You have a true friend in The White House. We support you!;photo;3068;17-02-01
"128;1;16 Fake News Stories Reporters Have Run Since Trump Won;""""""16 Fake News Stories Reporters Have Run Since Trump Won"""""";link;17473;17-02-01"
129;1;;If the U.S. does not win this case as it so obviously should, we can never have the security and safety to which we are entitled. Politics!;status;5549;17-02-01
"130;1;CEO confidence at near-record high. Why? Trump's war on regulation;""""""Having said all that, Trump's pledge to rein in the growth of federal regulations is undoubtedly one of the key reasons why business sentiment is surging in the United States right now"""""";link;4345;17-02-01"
132;1;;‪Our thoughts and prayers are with everyone in southeastern Louisiana affected by today's severe tornadoes. ‬;status;4192;17-02-01
133;1;PRESIDENT TRUMP - - FIRST 100 DAYS;Join President Trump & his first 100 days in photos from the White House, on the road and behind the scenes - right here on Facebook! Together, we will MAKE AMERICA GREAT AGAIN!;photo;15506;17-02-01
134;1;;It is a disgrace that my full Cabinet is still not in place, the longest such delay in the history of our country. Obstruction by Democrats!;status;14941;17-02-01
135;1;Trump interview throws spotlight on Christian broadcaster;Congratulations David Brody & CBN News! I enjoyed my time with you all.;link;2623;17-02-01
136;1;Vice President Pence Casts Historic Vote to Confirm Betsy DeVos;Congratulations Betsy DeVos! Welcome to the team!!;link;8918;17-02-01
"137;1;Washington better catch up to this business-minded president, ex-Chrysler chief says;""""""Washington better catch up to this business-minded president, ex-Chrysler chief says"""""";link;3085;17-02-01"
138;1;Timeline Photos;An honor having the National Sheriffs' Assoc. join me at the White House. Incredible men & women who protect & serve 24/7/365. THANK YOU!!;photo;6076;17-02-01
"139;1;MEDIA ON PRESIDENT TRUMP;""Interesting segment - - - not surprised! """"The press is not being extra aggressive -- they are not doing actual checking and finding context."""" Timothy Carney Washington Examiner"";video;2457;17-02-01"
140;1;;The threat from radical Islamic terrorism is very real, just look at what is happening in Europe and the Middle-East. Courts must act fast!;status;8706;17-02-01
141;1;;I don't know Putin, have no deals in Russia, and the haters are going crazy - yet Obama can make a deal with Iran, #1 in terror, no problem!;status;46025;17-02-01
142;1;;Remarks to Coalition Representatives and Senior US Commanders at CENTCOM base in Tampa, Florida.;video;4738;17-02-01
143;1;Timeline Photos;Happy Birthday, Mr. President!;photo;9760;17-02-01
144;1;Timeline Photos;After a briefing from CENTCOM & SOCOM leaders, I joined enlisted soliders, sailors, airmen and marines for a luncheon discussion this afternoon.;photo;6518;17-02-01
145;1;Team Trump finally brings realism to US Mideast policy;Team Trump finally brings realism to US';link;3634;17-02-01
146;1;;I call my own shots, largely based on an accumulation of data, and everyone knows it. Some FAKE NEWS media, in order to marginalize, lies!;status;5263;17-02-01
147;1;Timeline Photos;What an amazing comeback and win by the Patriots. Tom Brady, Bob Kraft and Coach B are total winners. Wow!;photo;20574;17-02-01
148;1;Timeline Photos;Thank you to the Palm Beach Central Band for their wonderful performance upon my arrival at this evenings Super Bowl Party!;photo;5101;17-02-01
149;1;;Enjoy the #SuperBowl and then we continue: MAKE AMERICA GREAT AGAIN!;status;10801;17-02-01
